question,answer
I can't send messages via IM. What should I do?,"IM chat can be unstable on certain networks. Try: ① switching networks (Wi-Fi ↔ mobile data); ② restarting the App; ③ updating to the latest version. If it still fails, transfer to a human agent."
为什么页面打开很慢？,如果您身在国外，访问速度偏慢可能是国内流量访问限制的原因，我们正在加速配置海外服务器。如果您在中国，建议关闭 VPN——VPN 开启可能影响网站/App 的正常访问。
Why do pages load slowly?,"If you're overseas, slowness may come from cross-border traffic restrictions—we're deploying overseas servers to speed this up. If you're in China, please disable your VPN, which can interfere with normal access."
App 用不了/信息保存失败怎么办？,建议先到应用商店将 Wellcee App 更新到最新版本：安卓需 10.0 以上，iOS 需 15.0 以上；网页端推荐使用 Chrome 或 Safari 浏览器。如仍有问题，请提供机型、系统版本和问题截图，转人工客服跟进。
The App isn't working / my info won't save. What should I do?,"Update the App to the latest version first: Android 10.0+ or iOS 15.0+. On PC, use Chrome or Safari. If the problem persists, provide your device model, OS version and a screenshot, then transfer to a human agent."
怎么换绑手机号/注销账号？,🔶换绑手机与账号注销涉及账号安全，需要人工核验身份后操作。请转人工客服，并准备好注册手机号及近期登录信息以便核验。（流程为假设，待与技术支持确认）
How do I change my phone number or delete my account?,"🔶Changing the bound phone number or deleting an account involves account security and requires manual identity verification. Please transfer to a human agent and have your registered phone number and recent login info ready. (Assumed flow, to be confirmed)"
Wellcee 是什么平台？,Wellcee（唯心所寓）成立于 2017 年，是一个无中介费的房东直租+社交平台，主打真实房源、实名认证与多重安全保障。愿景是「让世界上每个有可能的地方都变成家」。目前覆盖全国 40+ 城市，用户来自 170+ 国家，提供租房/找室友、社区分享和宠物领养三大板块。
What is Wellcee?,"Wellcee, founded in 2017, is a commission-free direct-rental and social platform featuring verified real listings, real-name authentication and multiple safety guarantees. Its vision: 'Make every possible place in the world feel like home.' It covers 40+ cities in China with users from 170+ countries, offering rental/roommate matching, community sharing and pet adoption."
你是机器人吗？你是谁？,我是小Cee，Wellcee 的 AI 智能助手🤖，可以帮你解答租房流程、押金托管、房源发布等问题。我是 AI，回答仅供参考；涉及纠纷、退款等复杂问题，我会帮你转接人工客服。有什么可以帮你的吗？
Are you a bot? Who are you?,"I'm Xiao Cee, Wellcee's AI assistant 🤖. I can help with rental flows, deposit escrow, listing questions and more. I'm an AI and my answers are for reference; for complex issues like disputes or refunds, I'll connect you to a human agent. How can I help?"
